unique_id,Benefit,Taxonomic Uniqueness,Feasibility of Success,Year 1 cost,Year 2 cost,Year 3 cost,Year 4 cost,Year 5 cost,Year 6 cost,Year 7 cost,Year 8 cost,Year 9 cost,Year 10 cost,Year  11 cost,Year 12 cost,Year 13 cost,Year 14 cost,Year 15 cost,Year 16 cost,Year 17 cost,Year 18 cost,Year 19 cost,Year 20 cost,Year 21 cost,Year 22 cost,Year 23 cost,Year 24 cost,Year 25 cost,TOTAL COST,,,
1-Flowering Plants-502,0.66,0.67,0.60,11616.17,6053.24,5993.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23662.72,,,
1-Flowering Plants-436,0.66,0.67,0.22,12356.62,10136.97,10036.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32530.19,,,
1-Flowering Plants-183,0.66,0.67,0.11,22163.14,18663.08,18478.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59304.51,,,
1-Flowering Plants-536,0.99,0.67,0.87,20849.61,20643.18,20438.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61931.57,,,
1-Flowering Plants-480,0.66,0.67,0.23,34006.87,25589.33,20002.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79598.27,,,
1-Flowering Plants-135,0.66,0.67,0.42,30379.47,28731.87,20446.57,5281.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84838.99,,,
1-Flowering Plants-481,0.66,0.67,0.72,49766.12,32021.65,26310.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108098.39,,,
1-Flowering Plants-486,0.66,0.67,0.71,27820.04,16009.42,10659.57,0.00,0.00,0.00,0.00,0.00,0.00,78777.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133266.03,,,
1-Flowering Plants-176,0.66,0.67,0.38,51068.48,36324.25,35024.76,11166.44,4606.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138190.55,,,
1-Flowering Plants-529,0.49,0.33,0.53,49921.27,49427.00,48937.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148285.89,,,
1-Flowering Plants-475,0.66,0.67,0.27,57432.71,50302.83,47639.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155374.90,,,
1-Flowering Plants-548,0.49,0.67,0.86,53485.80,52956.23,52431.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158873.94,,,
